Unnamed: 0,speaker_path,listener_path_pos,listener_path_neg
0,UDIVA/talk/023102/FC1/8,UDIVA/talk/023102/FC2/8,UDIVA/talk/023102/FC2/10
1,UDIVA/talk/023102/FC1/9,UDIVA/talk/023102/FC2/9,UDIVA/talk/023102/FC2/14
2,UDIVA/talk/023102/FC1/10,UDIVA/talk/023102/FC2/10,UDIVA/talk/023102/FC2/14
3,UDIVA/talk/023102/FC1/14,UDIVA/talk/023102/FC2/14,UDIVA/talk/023102/FC2/9
4,UDIVA/talk/023191/FC1/19,UDIVA/talk/023191/FC2/19,UDIVA/talk/023102/FC2/14
5,UDIVA/animal/023102/FC1/2,UDIVA/animal/023102/FC2/2,UDIVA/talk/023102/FC2/9
6,UDIVA/animal/023102/FC1/3,UDIVA/animal/023102/FC2/3,UDIVA/animal/023102/FC2/3
7,UDIVA/animal/023191/FC1/7,UDIVA/animal/023191/FC2/7,UDIVA/animal/023191/FC2/30
8,UDIVA/animal/023191/FC1/8,UDIVA/animal/023191/FC2/8,UDIVA/animal/023191/FC2/7
9,UDIVA/animal/023191/FC1/9,UDIVA/animal/023191/FC2/9,UDIVA/animal/023102/FC2/2
10,UDIVA/animal/023191/FC1/18,UDIVA/animal/023191/FC2/18,UDIVA/animal/023102/FC2/2
11,UDIVA/animal/023191/FC1/21,UDIVA/animal/023191/FC2/21,UDIVA/animal/023191/FC2/7
12,UDIVA/animal/023191/FC1/22,UDIVA/animal/023191/FC2/22,UDIVA/talk/023102/FC2/9
13,UDIVA/animal/023191/FC1/30,UDIVA/animal/023191/FC2/30,UDIVA/animal/023191/FC2/33
14,UDIVA/animal/023191/FC1/33,UDIVA/animal/023191/FC2/33,UDIVA/animal/023191/FC2/22
15,UDIVA/talk/102173/FC1/10,UDIVA/talk/102173/FC2/10,UDIVA/animal/023102/FC2/3
16,UDIVA/talk/102176/FC1/1,UDIVA/talk/102176/FC2/1,UDIVA/animal/023191/FC2/9
17,UDIVA/talk/102176/FC1/2,UDIVA/talk/102176/FC2/2,UDIVA/animal/023191/FC2/7
18,UDIVA/talk/102176/FC1/3,UDIVA/talk/102176/FC2/3,UDIVA/talk/102176/FC2/18
19,UDIVA/talk/102176/FC1/6,UDIVA/talk/102176/FC2/6,UDIVA/talk/023102/FC2/9
20,UDIVA/talk/102176/FC1/7,UDIVA/talk/102176/FC2/7,UDIVA/talk/023102/FC2/8
21,UDIVA/talk/102176/FC1/8,UDIVA/talk/102176/FC2/8,UDIVA/animal/023191/FC2/18
22,UDIVA/talk/102176/FC1/9,UDIVA/talk/102176/FC2/9,UDIVA/animal/023191/FC2/9
23,UDIVA/talk/102176/FC1/10,UDIVA/talk/102176/FC2/10,UDIVA/talk/102176/FC2/18
24,UDIVA/talk/102176/FC1/11,UDIVA/talk/102176/FC2/11,UDIVA/animal/023191/FC2/30
25,UDIVA/talk/102176/FC1/17,UDIVA/talk/102176/FC2/17,UDIVA/talk/102176/FC2/1
26,UDIVA/talk/102176/FC1/18,UDIVA/talk/102176/FC2/18,NoXI/050_2016-04-12_Nottingham/Novice_video/17
27,UDIVA/talk/102176/FC1/19,UDIVA/talk/102176/FC2/19,UDIVA/animal/023191/FC2/9
28,UDIVA/animal/102176/FC1/32,UDIVA/animal/102176/FC2/32,NoXI/050_2016-04-12_Nottingham/Novice_video/9
29,UDIVA/animal/102176/FC1/40,UDIVA/animal/102176/FC2/40,NoXI/050_2016-04-12_Nottingham/Novice_video/24
30,UDIVA/talk/173179/FC1/10,UDIVA/talk/173179/FC2/10,UDIVA/talk/102176/FC2/2
31,UDIVA/talk/106173/FC1/1,UDIVA/talk/106173/FC2/1,UDIVA/talk/106148/FC2/10
32,UDIVA/talk/106173/FC1/2,UDIVA/talk/106173/FC2/2,UDIVA/talk/102176/FC2/6
33,UDIVA/talk/106173/FC1/3,UDIVA/talk/106173/FC2/3,NoXI/011_2016-03-25_Paris/Novice_video/43
34,UDIVA/talk/106173/FC1/4,UDIVA/talk/106173/FC2/4,UDIVA/talk/102176/FC2/18
35,UDIVA/talk/106173/FC1/19,UDIVA/talk/106173/FC2/19,NoXI/007_2016-03-21_Paris/Novice_video/40
36,UDIVA/ghost/106173/FC1/3,UDIVA/ghost/106173/FC2/3,UDIVA/talk/106148/FC2/3
37,UDIVA/ghost/106173/FC1/4,UDIVA/ghost/106173/FC2/4,UDIVA/talk/106148/FC2/2
38,UDIVA/animal/173176/FC1/20,UDIVA/animal/173176/FC2/20,UDIVA/animal/106148/FC2/17
39,UDIVA/animal/106173/FC1/13,UDIVA/animal/106173/FC2/13,UDIVA/animal/106108/FC2/15
40,UDIVA/talk/144176/FC1/1,UDIVA/talk/144176/FC2/1,NoXI/007_2016-03-21_Paris/Novice_video/47
41,UDIVA/talk/144176/FC1/2,UDIVA/talk/144176/FC2/2,NoXI/007_2016-03-21_Paris/Novice_video/10
42,UDIVA/talk/144176/FC1/3,UDIVA/talk/144176/FC2/3,UDIVA/animal/055128/FC2/11
43,UDIVA/talk/144176/FC1/4,UDIVA/talk/144176/FC2/4,NoXI/007_2016-03-21_Paris/Novice_video/1
44,UDIVA/talk/144176/FC1/5,UDIVA/talk/144176/FC2/5,UDIVA/talk/102176/FC2/17
45,UDIVA/talk/144176/FC1/6,UDIVA/talk/144176/FC2/6,UDIVA/talk/102176/FC2/1
46,UDIVA/talk/144176/FC1/7,UDIVA/talk/144176/FC2/7,NoXI/007_2016-03-21_Paris/Novice_video/15
47,UDIVA/talk/144176/FC1/8,UDIVA/talk/144176/FC2/8,NoXI/007_2016-03-21_Paris/Novice_video/65
48,UDIVA/talk/144176/FC1/9,UDIVA/talk/144176/FC2/9,UDIVA/animal/106148/FC2/14
49,UDIVA/talk/144176/FC1/10,UDIVA/talk/144176/FC2/10,NoXI/007_2016-03-21_Paris/Novice_video/46
50,UDIVA/talk/144176/FC1/11,UDIVA/talk/144176/FC2/11,UDIVA/animal/106148/FC2/17
51,UDIVA/talk/144176/FC1/12,UDIVA/talk/144176/FC2/12,UDIVA/talk/009106/FC2/14
52,UDIVA/talk/144176/FC1/13,UDIVA/talk/144176/FC2/13,UDIVA/talk/106173/FC2/4
53,UDIVA/talk/144176/FC1/14,UDIVA/talk/144176/FC2/14,NoXI/007_2016-03-21_Paris/Novice_video/28
54,UDIVA/talk/144176/FC1/18,UDIVA/talk/144176/FC2/18,UDIVA/animal/106108/FC2/10
55,UDIVA/talk/144176/FC1/19,UDIVA/talk/144176/FC2/19,NoXI/015_2016-04-05_Paris/Novice_video/29
56,UDIVA/talk/144176/FC1/20,UDIVA/talk/144176/FC2/20,UDIVA/talk/102176/FC2/8
57,UDIVA/talk/144176/FC1/23,UDIVA/talk/144176/FC2/23,NoXI/007_2016-03-21_Paris/Novice_video/17
58,UDIVA/talk/144176/FC1/24,UDIVA/talk/144176/FC2/24,NoXI/007_2016-03-21_Paris/Novice_video/28
59,UDIVA/animal/144176/FC1/1,UDIVA/animal/144176/FC2/1,UDIVA/talk/106148/FC2/14
60,UDIVA/animal/144176/FC1/2,UDIVA/animal/144176/FC2/2,UDIVA/talk/106148/FC2/9
61,UDIVA/animal/144176/FC1/3,UDIVA/animal/144176/FC2/3,UDIVA/talk/106148/FC2/2
62,UDIVA/animal/144176/FC1/4,UDIVA/animal/144176/FC2/4,UDIVA/animal/144176/FC2/6
63,UDIVA/animal/144176/FC1/5,UDIVA/animal/144176/FC2/5,NoXI/007_2016-03-21_Paris/Novice_video/45
64,UDIVA/animal/144176/FC1/6,UDIVA/animal/144176/FC2/6,UDIVA/animal/106108/FC2/18
65,UDIVA/animal/144176/FC1/7,UDIVA/animal/144176/FC2/7,NoXI/007_2016-03-21_Paris/Novice_video/10
66,UDIVA/animal/144176/FC1/8,UDIVA/animal/144176/FC2/8,NoXI/007_2016-03-21_Paris/Novice_video/30
67,UDIVA/animal/144176/FC1/9,UDIVA/animal/144176/FC2/9,UDIVA/animal/144176/FC2/45
68,UDIVA/animal/144176/FC1/10,UDIVA/animal/144176/FC2/10,UDIVA/animal/106108/FC2/10
69,UDIVA/animal/144176/FC1/13,UDIVA/animal/144176/FC2/13,NoXI/007_2016-03-21_Paris/Novice_video/18
70,UDIVA/animal/144176/FC1/14,UDIVA/animal/144176/FC2/14,NoXI/007_2016-03-21_Paris/Novice_video/51
71,UDIVA/animal/144176/FC1/15,UDIVA/animal/144176/FC2/15,UDIVA/talk/106148/FC2/20
72,UDIVA/animal/144176/FC1/18,UDIVA/animal/144176/FC2/18,UDIVA/animal/055128/FC2/2
73,UDIVA/animal/144176/FC1/19,UDIVA/animal/144176/FC2/19,UDIVA/animal/106108/FC2/7
74,UDIVA/animal/144176/FC1/20,UDIVA/animal/144176/FC2/20,UDIVA/talk/009106/FC2/19
75,UDIVA/animal/144176/FC1/21,UDIVA/animal/144176/FC2/21,UDIVA/talk/102176/FC2/17
76,UDIVA/animal/144176/FC1/22,UDIVA/animal/144176/FC2/22,NoXI/007_2016-03-21_Paris/Novice_video/22
77,UDIVA/animal/144176/FC1/23,UDIVA/animal/144176/FC2/23,NoXI/007_2016-03-21_Paris/Novice_video/39
78,UDIVA/animal/144176/FC1/24,UDIVA/animal/144176/FC2/24,UDIVA/talk/102176/FC2/11
79,UDIVA/animal/144176/FC1/25,UDIVA/animal/144176/FC2/25,UDIVA/animal/144176/FC2/30
80,UDIVA/animal/144176/FC1/26,UDIVA/animal/144176/FC2/26,NoXI/007_2016-03-21_Paris/Novice_video/63
81,UDIVA/animal/144176/FC1/27,UDIVA/animal/144176/FC2/27,UDIVA/talk/106148/FC2/13
82,UDIVA/animal/144176/FC1/30,UDIVA/animal/144176/FC2/30,UDIVA/animal/106108/FC2/7
83,UDIVA/animal/144176/FC1/33,UDIVA/animal/144176/FC2/33,NoXI/007_2016-03-21_Paris/Novice_video/34
84,UDIVA/animal/144176/FC1/34,UDIVA/animal/144176/FC2/34,NoXI/007_2016-03-21_Paris/Novice_video/20
85,UDIVA/animal/144176/FC1/35,UDIVA/animal/144176/FC2/35,UDIVA/animal/106108/FC2/10
86,UDIVA/animal/144176/FC1/36,UDIVA/animal/144176/FC2/36,UDIVA/animal/144176/FC2/4
87,UDIVA/animal/144176/FC1/37,UDIVA/animal/144176/FC2/37,NoXI/007_2016-03-21_Paris/Novice_video/24
88,UDIVA/animal/144176/FC1/38,UDIVA/animal/144176/FC2/38,UDIVA/animal/023191/FC2/8
89,UDIVA/animal/144176/FC1/39,UDIVA/animal/144176/FC2/39,UDIVA/talk/009106/FC2/15
90,UDIVA/animal/144176/FC1/40,UDIVA/animal/144176/FC2/40,NoXI/007_2016-03-21_Paris/Novice_video/27
91,UDIVA/animal/144176/FC1/41,UDIVA/animal/144176/FC2/41,UDIVA/talk/144176/FC2/18
92,UDIVA/animal/144176/FC1/42,UDIVA/animal/144176/FC2/42,NoXI/015_2016-04-05_Paris/Novice_video/25
93,UDIVA/animal/144176/FC1/43,UDIVA/animal/144176/FC2/43,UDIVA/animal/144176/FC2/6
94,UDIVA/animal/144176/FC1/44,UDIVA/animal/144176/FC2/44,UDIVA/talk/102176/FC2/18
95,UDIVA/animal/144176/FC1/45,UDIVA/animal/144176/FC2/45,UDIVA/animal/144176/FC2/40
96,UDIVA/animal/144176/FC1/46,UDIVA/animal/144176/FC2/46,NoXI/007_2016-03-21_Paris/Novice_video/2
97,UDIVA/animal/144176/FC1/47,UDIVA/animal/144176/FC2/47,UDIVA/talk/106148/FC2/2
98,UDIVA/animal/144176/FC1/48,UDIVA/animal/144176/FC2/48,UDIVA/animal/106108/FC2/19
99,UDIVA/animal/144176/FC1/49,UDIVA/animal/144176/FC2/49,UDIVA/animal/123188/FC2/12
100,UDIVA/talk/106108/FC1/6,UDIVA/talk/106108/FC2/6,UDIVA/talk/102176/FC2/7
101,UDIVA/talk/106108/FC1/7,UDIVA/talk/106108/FC2/7,NoXI/007_2016-03-21_Paris/Novice_video/32
102,UDIVA/talk/106108/FC1/13,UDIVA/talk/106108/FC2/13,UDIVA/animal/144176/FC2/6
103,UDIVA/talk/106108/FC1/19,UDIVA/talk/106108/FC2/19,NoXI/007_2016-03-21_Paris/Novice_video/25
104,UDIVA/talk/106108/FC1/20,UDIVA/talk/106108/FC2/20,UDIVA/animal/106108/FC2/12
105,UDIVA/talk/009106/FC1/1,UDIVA/talk/009106/FC2/1,UDIVA/talk/106148/FC2/8
106,UDIVA/talk/009106/FC1/4,UDIVA/talk/009106/FC2/4,UDIVA/animal/144176/FC2/23
107,UDIVA/talk/009106/FC1/5,UDIVA/talk/009106/FC2/5,UDIVA/talk/144176/FC2/9
108,UDIVA/talk/009106/FC1/6,UDIVA/talk/009106/FC2/6,UDIVA/animal/106108/FC2/19
109,UDIVA/talk/009106/FC1/7,UDIVA/talk/009106/FC2/7,NoXI/060_2016-04-14_Nottingham/Novice_video/47
110,UDIVA/talk/009106/FC1/8,UDIVA/talk/009106/FC2/8,UDIVA/animal/123188/FC2/80
111,UDIVA/talk/009106/FC1/9,UDIVA/talk/009106/FC2/9,UDIVA/animal/144176/FC2/1
